Dependency=ASHRAE IECC Climate Zone 2004 - 2A Split	Dependency=Heating Fuel	Dependency=Vintage	Option=Ducted Heat Pump	Option=Ducted Heating	Option=Non-Ducted Heat Pump	Option=Non-Ducted Heating	Option=None	source_count	source_weight	sampling_probability
"2A - TX, LA"	Natural Gas	<1940	0.000000	0.000000	0.000000	1.000000	0.000000	15	47939.8	0.00103233
"2A - TX, LA"	None	<1940	0.000000	0.000000	0.000000	1.000000	0.000000	0	0	1.27E-05
"2A - TX, LA"	Other Fuel	<1940	0.000000	0.000000	0.000000	1.000000	0.000000	15	47939.8	1.79E-05
"2A - TX, LA"	Propane	<1940	0.000000	0.000000	0.000000	1.000000	0.000000	15	47939.8	8.66E-05
2B	Electricity	1940s	0.000000	0.000000	0.000000	1.000000	0.000000	1	5403.9	0.000182055
2B	Fuel Oil	1940s	0.000000	0.000000	0.000000	1.000000	0.000000	1	2636.25	2.26E-08
2B	Natural Gas	1940s	0.000000	0.000000	0.000000	1.000000	0.000000	1	2636.25	0.000140533
2B	None	1940s	0.000000	0.000000	0.000000	1.000000	0.000000	0	0	7.27E-06
2B	Other Fuel	1940s	0.000000	0.000000	0.000000	1.000000	0.000000	1	2636.25	4.07E-06
2B	Propane	1940s	0.000000	0.000000	0.000000	1.000000	0.000000	1	2636.25	5.19E-06
2B	Electricity	1950s	0.000000	0.000000	0.000000	1.000000	0.000000	1	11838.6	0.000601594
2B	Fuel Oil	1950s	0.000000	0.000000	0.000000	1.000000	0.000000	5	12718.4	1.23E-06
2B	Natural Gas	1950s	0.000000	0.000000	0.000000	1.000000	0.000000	5	12718.4	0.000526318
2B	None	1950s	0.000000	0.000000	0.000000	1.000000	0.000000	0	0	1.84E-05
2B	Other Fuel	1950s	0.000000	0.000000	0.000000	1.000000	0.000000	5	12718.4	7.86E-06
2B	Propane	1950s	0.000000	0.000000	0.000000	1.000000	0.000000	5	12718.4	1.40E-05
2B	Electricity	1960s	0.000000	0.000000	0.000000	1.000000	0.000000	7	79080.9	0.000936498
2B	Fuel Oil	1960s	0.000000	0.000000	0.000000	1.000000	0.000000	3	8062.15	1.26E-06
2B	Natural Gas	1960s	0.000000	0.000000	0.000000	1.000000	0.000000	3	8062.15	0.000518361
2B	None	1960s	0.000000	0.000000	0.000000	1.000000	0.000000	1	12280.6	2.07E-05
2B	Other Fuel	1960s	0.000000	0.000000	0.000000	1.000000	0.000000	3	8062.15	1.13E-05
