Dependency=Location Region	Dependency=Vintage	Dependency=Geometry Wall Type	"Option=Wood Stud, Uninsulated"	"Option=Wood Stud, R-7"	"Option=Wood Stud, R-11"	"Option=Wood Stud, R-15"	"Option=Wood Stud, R-19"	"Option=CMU, 6-in Hollow, Uninsulated"	"Option=CMU, 6-in Hollow, R-7"	"Option=CMU, 6-in Hollow, R-11"	"Option=CMU, 6-in Hollow, R-15"	"Option=CMU, 6-in Hollow, R-19"	"Option=Brick, 12-in, 3-wythe, Uninsulated"	"Option=Brick, 12-in, 3-wythe, R-7"	"Option=Brick, 12-in, 3-wythe, R-11"	"Option=Brick, 12-in, 3-wythe, R-15"	"Option=Brick, 12-in, 3-wythe, R-19"	Option=Void	sampling_probability
CR10	1970s	Concrete	0	0	0	0	0	0	0.060606061	0.717171717	0.121212121	0.101010101	0	0	0	0	0	0	0.000603717
CR11	1970s	Concrete	0	0	0	0	0	0	0.060606061	0.717171717	0.121212121	0.101010101	0	0	0	0	0	0	0.000245371
CR02	1980s	Concrete	0	0	0	0	0	0	0.060606061	0.717171717	0.121212121	0.101010101	0	0	0	0	0	0	9.72E-05
CR05	1980s	Concrete	0	0	0	0	0	0	0	0	0.25	0.75	0	0	0	0	0	0	5.12E-06
CR03	1980s	Concrete	0	0	0	0	0	0	0	0	0.25	0.75	0	0	0	0	0	0	0.00134617
CR04	1980s	Concrete	0	0	0	0	0	0	0	0	0.25	0.75	0	0	0	0	0	0	2.25E-05
CR06	1980s	Concrete	0	0	0	0	0	0	0	0	0.25	0.75	0	0	0	0	0	0	4.66E-05
CR07	1980s	Concrete	0	0	0	0	0	0	0	0	0.25	0.75	0	0	0	0	0	0	9.89E-05
CR08	1980s	Concrete	0	0	0	0	0	0	0	0	0.25	0.75	0	0	0	0	0	0	0.000462691
CR09	1980s	Concrete	0	0	0	0	0	0	0	0	0.25	0.75	0	0	0	0	0	0	0.00247518
CR10	1980s	Concrete	0	0	0	0	0	0	0	0	0.25	0.75	0	0	0	0	0	0	0.000251257
CR11	1980s	Concrete	0	0	0	0	0	0	0	0	0.25	0.75	0	0	0	0	0	0	1.81E-05
CR02	1990s	Concrete	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	8.18E-05
CR05	1990s	Concrete	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4.75E-06
CR03	1990s	Concrete	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0.00105262
